simple_qualifier,envista_qualifier,envista_qualifier_id,aqs_qualifier,,,
ok,-9999,-9999,NA,,,
ok,-9999,-9999,RA,,,
ok,-9999,-9999,RB,,,
ok,-9999,-9999,RC,,,
ok,-9999,-9999,RD,,,
ok,-9999,-9999,RE,,,
ok,-9999,-9999,RF,,,
ok,-9999,-9999,RG,,,
ok,-9999,-9999,RH,,,
ok,-9999,-9999,RI,,,
ok,-9999,-9999,RJ,,,
ok,-9999,-9999,RK,,,
ok,-9999,-9999,RL,,,
ok,-9999,-9999,RM,,,
ok,-9999,-9999,RN,,,
ok,-9999,-9999,RO,,,
ok,-9999,-9999,RP,,,
ok,-9999,-9999,RQ,,,
ok,-9999,-9999,RR,,,
ok,-9999,-9999,RS,,,
ok,-9999,-9999,RT,,,
ok,-9999,-9999,1,,,
ok,-9999,-9999,1V,,,
ok,-9999,-9999,2,,,
ok,-9999,-9999,3,,,
ok,-9999,-9999,4,,,
ok,-9999,-9999,5,,,
ok,-9999,-9999,6,,,
ok,-9999,-9999,7,,,
ok,-9999,-9999,9,,,
ok,-9999,-9999,CB,,,
ok,-9999,-9999,CC,,,
ok,-9999,-9999,CF,,,
ok,-9999,-9999,CL,,,
ok,-9999,-9999,DI,,,
ok,-9999,-9999,DN,,,
ok,-9999,-9999,EH,,,
ok,-9999,-9999,FB,,,
ok,-9999,-9999,FX,,,
ok,-9999,-9999,HT,,,
ok,-9999,-9999,LB,,,
ok,-9999,-9999,LJ,,,
ok,-9999,-9999,LK,,,
ok,-9999,-9999,LL,,,
ok,-9999,-9999,MD,,,
ok,-9999,-9999,MS,,,
ok,-9999,-9999,MX,,,
ok,-9999,-9999,ND,,,
ok,-9999,-9999,NS,,,
ok,-9999,-9999,QP,,,
ok,-9999,-9999,QT,,,
ok,-9999,-9999,QX,,,
ok,-9999,-9999,SB,,,
ok,-9999,-9999,SP,,,
ok,-9999,-9999,SQ,,,
ok,-9999,-9999,SS,,,
ok,-9999,-9999,SX,,,
ok,-9999,-9999,TB,,,
ok,-9999,-9999,TT,,,
ok,-9999,-9999,V,,,
ok,-9999,-9999,VB,,,
ok,-9999,-9999,W,,,
ok,-9999,-9999,X,,,
ok,-9999,-9999,Y,,,
remove,-9999,-9999,1C,,,
remove,-9999,-9999,AA,,,
remove,-9999,-9999,AB,,,
remove,-9999,-9999,AC,,,
remove,-9999,-9999,AD,,,
remove,-9999,-9999,AE,,,
remove,-9999,-9999,AF,,,
remove,-9999,-9999,AG,,,
remove,-9999,-9999,AH,,,
remove,-9999,-9999,AI,,,
remove,-9999,-9999,AJ,,,
remove,-9999,-9999,AK,,,
remove,-9999,-9999,AL,,,
remove,-9999,-9999,AM,,,
remove,-9999,-9999,AN,,,
remove,-9999,-9999,AO,,,
remove,-9999,-9999,AP,,,
remove,-9999,-9999,AQ,,,
remove,-9999,-9999,AR,,,
remove,-9999,-9999,AS,,,
remove,-9999,-9999,AT,,,
remove,-9999,-9999,AU,,,
remove,-9999,-9999,AV,,,
remove,-9999,-9999,AW,,,
remove,-9999,-9999,AX,,,
remove,-9999,-9999,AY,,,
remove,-9999,-9999,AZ,,,
remove,-9999,-9999,BA,,,
remove,-9999,-9999,BB,,,
remove,-9999,-9999,BC,,,
remove,-9999,-9999,BD,,,
remove,-9999,-9999,BE,,,
